,comments,notes,hotel_name
57, L'emplacement est idéal,7.9,Hotel Coeur de Mogador
58," La situation géographique est excellente , proche de tout",8.8,Hotel Coeur de Mogador
59, RAS,7.1,Hotel Coeur de Mogador
60, The room was clean and spacious,9.0,Hotel Mauritania
61, Personnel très sympa,7.0,Hotel Mauritania
62,"N'a pas aimé
 · Personnel non accueillent
Matelat non comfortable et bruyante
Terrasse salle et non entretenue
Le soir des dizaines de moustiques ont envahi la chambre à tel point qu'on a pas pu s'endormir",1.0,Hotel Mauritania
63, La propreté des draps,1.0,Hotel Mauritania
64, The location was good,6.0,Hotel Mauritania
65, Personal ist sehr gut.,7.0,Hotel Mauritania
66, Un établissement accueillant et très simpa je le recommande pour ceux qui on un petit budget,10.0,Hotel Aswan
67, Dejas venue en 2016 et 2018 bien accueilli et tres bien placé centre ville,7.0,Hotel Aswan
68," L’emplacement de l’hotel est parfait, presqu’en plein centre ville",5.0,Hotel Aswan
69, L'emplacement,5.0,Hotel Aswan
70, j'ai aimé beaucoup l'emplacement géographique de l’hôtel.,7.0,Hotel Aswan
71," Personnel excellent , hôtel médiocre",6.2,Hotel Aswan
72, Petit déjeuné non inclut,7.1,Hotel Aswan
73, L'accueil et le service + l'emplacement de l'hôtel.,7.5,Hotel Aswan
74," la chambre était propre mais impossible de dormir car emplacement trop bruyant ,pas de clim dommage mais le petit déjeuner pas mal",6.7,Hotel Aswan
75," Hôtel très bien situé, en Centre ville. Proche des magasins, banques.",4.6,Hotel Aswan
76, Ont va dans cette hôtel depuis 7 ans pas de problèmes petit déjeuné bien et bien recu,10.0,Hôtel Petite Suède
77, Bon accueil et très bon emplacement.,8.0,Hôtel Petite Suède
78, La propriété et l amabilité du personnel. La situation geographique.,8.0,Hôtel Petite Suède
79, Soirée étape,8.0,Hôtel Petite Suède
80, Emplacement. :Proche de la plage,8.0,Hôtel Petite Suède
81, Le style plus calme,7.9,Hôtel Petite Suède
82, Propreté et emplacement impeccables,6.0,Hôtel Petite Suède
83," L'accueil,la discrétion du personnel, et la propreté..très remarquable...",8.0,Hôtel Petite Suède
84, Le Monsieur à l'accueil était très aimable et a tout fait pour satisfaire notre besoin.,7.0,Hôtel Petite Suède
85," Très bon accueil, séjour agréable je recommande",8.0,Hôtel Petite Suède
86, Accueil chaleureux et professionnel. Personnel aux petits soins. Le restaurant est très correct avec un très bon rapport qualité-prix comme pour l'ensemble de l'hôtel. Les chambres sont confortables. Tout est très propre.,10.0,Hotel Riad Amlal
87, Très propre avec un très bon rapport qualité prix,9.0,Hotel Riad Amlal
88, Le rapport qualité-prix était excellent. Le personnel très serviable et à l'écoute. La propreté et la qualité du service au top.,8.0,Hotel Riad Amlal
89," proximité centre ville
grande chambre 
petit déjeuner",8.0,Hotel Riad Amlal
90, Hôtel agréable et sympathique pour faire rayonner autour de Ouarzazate.,7.0,Hotel Riad Amlal
91, Le personnel le rapport qualité prix,8.0,Hotel Riad Amlal
92," Le dévouement des employés 
A l’écoute et serviable",8.0,Hotel Riad Amlal
93," Cadre agréable! Proche du centre de la ville, à 10 min à pied de La grande place.",8.0,Hotel Riad Amlal
94," Très bien situé
Personnels disponibles et très gentils",7.0,Hotel Riad Amlal
95, Proximité du centre ville et des attractions principales.,7.9,Hotel Riad Amlal
96, L accueil et l attention du personnel,8.0,Hotel Bab Sahara
97," La réactivité du propriétaire face a nos réclamations;
Le petit déjeuner;
L'emplacement du hôtel. 
La réception de l’hôtel.",6.0,Hotel Bab Sahara
98," Très bon emplacement.
Personnel très accueillant",6.0,Hotel Bab Sahara
99," Nous avons passé notre dernière nuit dans cette hôtel à Ouarzazate pour prendre l'avion le matin. Le personnel est très sympa, au petit soin. La place de Ouarzazate qui est très vivante, les enfants ont adoré faire des petites voitures électriques sur la place.",8.0,Hotel Bab Sahara
100, Si Noureddine,7.9,Hotel Bab Sahara
101, Centre location - ideal to see Ouarzazate before onward journey,8.3,Hotel Bab Sahara
102," Right in front of the main square. Clean and safe place. Wifi was slow. Hot shower. Nice balcony view. Good breakfast. Very helpful and friendly staff. They offer a private tour to the studios, then to a castle, oassis, finishing at the city's kasbah. Definitely I will stay here again.",9.0,Hotel Bab Sahara
103, A little on the expensive side compared to other places we stayed in Morocco but we were overlooking the square which was great and the staff were exceptionally friendly and nice. The bathroom had just been renovated.,10.0,Hotel Bab Sahara
104, Check In war schon um 6h morgens möglich!,7.0,Hotel Bab Sahara
105," Delicioso desayuno. Habitación amplia con baño, wifi y toallas. Muy amable el dueño en todo momento, nos dejó aparcar en la misma puerta. Céntrico, tranquilo y en una plaza con mucha vida.",9.0,Hotel Bab Sahara
106," Proximité de la Kasbah, Ras Elma, des restaurants et des moyens de transport pour se rendre à la Cascade d'Akchour. Le réceptionniste était aux petits soins, ses conseils m'ont beaucoup servi pour passer un excellent séjour j'y retournerai vivement.",10.0,Hotel Sevilla
107, La gentillesse de mohamed et sa disponibilité,7.9,Hotel Sevilla
108,"N'a pas aimé
 · C est calme propre , un peux d humidité dans la chambre proximité de place outa l7emam et rass lma 10 min à pied..",7.5,Hotel Sevilla
109," Lit confortable😃, accueil très chaleureux.. et le concierge était très sympathique.. Merci monsieur Mohamed pour l’accueil...",8.3,Hotel Sevilla
110, Le maitre d hotel était sympa.on a échangé sur pas mal de sujet au salon de l hotel,7.9,Hotel Sevilla
111," Personnel absolument adorable!!
Proche des rues commerçantes (souks), tout en étant un peu excentré (donc au calme)",7.1,Hotel Sevilla
112,"N'a pas aimé
 · Dormi du côté de la rue qui est assez bruyante, sinon le personnel rien à redire , très bien qualité prix .",7.5,Hotel Sevilla
113,"N'a pas aimé
 · Un placard éventuellement, .serait meilleur.",8.5,Hotel Sevilla
114," La gentillesse habituelle du gérant ,mohamed 
C est au moins mon 4eme séjours dans cette établissement ,qualité prix imbattable .
Tres bien situé .",9.6,Hotel Sevilla
115, Rien,2.5,Hotel Sevilla
116," Personnel serviable et arrangeant 
Possibilité de choisir une chambre sur rue ou sur cours (j'ai pris sur cours, au calme)
Emplacement central",8.0,Hôtel cherazed
117, The location is great just in the middle of town. The room had a good size and views to the main square. They provided blankets but with the AC the temperature was good. The staff were very friendly. They even offered me a free massage! the bed was comfortable and the bathroom was clean.,8.0,Hôtel cherazed
118, The stuff it's very respectfull,10.0,Hôtel cherazed
119," L'hôtel est magnifique, le personnel est chaleureux.. J'ai adoré la chambre, les deux terrasses et surtout surtout la propreté du lieux.
Le petit dej rien à dire 👏🏽",10.0,Hôtel Emeraude Essaouira
120," le cadre, l’accueil et les soins apportés à notre confort.. merci encore à Fred qui est une super hôte !",10.0,Hôtel Emeraude Essaouira
121, Le personnel est accueillant !,8.0,Hôtel Emeraude Essaouira
122," La chambre est très propre, on trouve tout ce dont on a besoin, le personnel est très sympa et à l'écoute. Très bon emplacement.",8.0,Hôtel Emeraude Essaouira
123," Le lit est super confortable, le personnel est bienveillant surtout Ahlam et Fatima
Merci",8.0,Hôtel Emeraude Essaouira
124, Personnel accueillant et serviable,8.0,Hôtel Emeraude Essaouira
125," Accueil chaleureux par Frédérique. Chambre super mignonne, fabuleuse décoration. Fenêtres insonorisées (très très rare au Maroc), parfait pour être au calme.
La gentillesse et le sourire de Ahlam, professionnelle, en plus d'une amabilité sincère, elle ne joue pas de rôle, elle vous accueille comme un véritable membre de la famille.
Bravo à toute l'équipe, sans oublier le réceptionniste de nuit lui aussi extrêmement avenant, ainsi que les femmes de chambre et leur bienveillance et discrétion.
Un véritable coup de coeur, une situation géographique exceptionnelle, et en sécurité.
Des prix plus que corrects, mes attentes ont été surpassées.
Merci du fond du coeur, l'excellence (tellement rare en ce moment particulièrement au Maroc.)",9.0,Hôtel Emeraude Essaouira
126," Accueil chaleureux. Goût et simplicité caractérisent cet hôtel charmant !
C'est une excellente adresse très bien située.",10.0,Hôtel Emeraude Essaouira
127," Tout était très bien, l'accueil, la chambre, la propreté et le personnel. Le plus appréciable est bien sur la terrasse où l'on peut prendre le petit-déjeuner au soleil. J'ai trouvé la taille de la chambre correcte, assez grande pour moi.",9.0,Hôtel Emeraude Essaouira
128, Parfait petit hotel pour decouvrir Essaouira. Le lit etait tres confortable et la deco tres sympathique. L'accueil est egalement parfait. Nous recommandons sans hesitation!,10.0,Hôtel Emeraude Essaouira
129, Le calme et la fraîcheur de la cour intérieure. La nourriture excellente,8.3,Auberge L'Oasis
130, Les gens extrêmement gentils,8.0,Auberge L'Oasis
131, Authenticité du lieu,7.0,Auberge L'Oasis
132," Le patio fleuri, le salon pour dîner, l accueil",8.0,Auberge L'Oasis
133," Hôtel simple et bien décoré. 
Personnel très disponible et toujours souriant. 
Ahmed est un ""patron"" comme on les aime.",7.5,Auberge L'Oasis
134," bon accueil,environnement chez l'habitant,conseils de visite sur la vieille ville,repas à la carte.investissement du personnel",7.1,Auberge L'Oasis
135," le cadre fleuri, le sourire et la gentillesse du patron, le tagine aux pruneaux",7.1,Auberge L'Oasis
136," Bon acceuil, emplacement proche centre, tonnelle agréable pour les petits déjeuners.",3.8,Auberge L'Oasis
137, Seul point positif:l'emplacement,4.2,Auberge L'Oasis
138, Paysage et ville d'une désolation spectaculaire.,4.6,Auberge L'Oasis
139, Accueil chaleureux de la part de personnel particulièrement petite dédicasse à Younes!,10.0,Hôtel Inou
140," Vue sur mer, la chambre était spacieuse et propre",8.0,Hôtel Inou
141, L emplacement à l entrée de la ville des transports taxis ect..... Plages trop de déchets dommage,7.0,Hôtel Inou
142, Agréable séjour.,8.0,Hôtel Inou
143, Personnel très aimable et à l’écoute. Très serviable. Peut-être faudrait-il rafraîchir les tissus des canapés. Un frigo dans la suite a été très appréciable.,9.0,Hôtel Inou
144, Propriété exemplaire staff accueillant courtois et à l'écoute,9.0,Hôtel Inou
145, La propreté,7.0,Hôtel Inou
146," Le personnel, la chambre propre, le lit confortable",8.0,Hôtel Inou
147, La gentillesse et la qualité de l'accueil et un remarquable Français.,8.3,Hôtel Inou
148,"N'a pas aimé
 · Notre voiture pourtant garée dans le parking a été accrochée par une moto",8.0,Hôtel Inou
149," Le service, la propretié, le personnel etait aimable ainsi que le prix etait vrailent adaptable a nos besoin, je vous relericer infinilent,je reviendrai surement .",10.0,Hôtel Auberge du Littoral
150,"N'a pas aimé
 · Personnel chaleureux,on est en sécurité ,matelas confortable,bonne hygiène et entretien je Super !!!!",8.0,Hôtel Auberge du Littoral
151,"N'a pas aimé
 · Non",7.0,Hôtel Auberge du Littoral
152," La piscine 
Le calme 
L'emplacement",7.0,Hôtel Auberge du Littoral
153, Mon petit bébé à bcp aimé la piscine également pour les parents aussi.. bref on est tellement satisfait de cet hôtel,8.0,Hôtel Auberge du Littoral
154,"N'a pas aimé
 · Merci a Jamila et toutes/tous les personnels",8.0,Hôtel Auberge du Littoral
155, Pour une nuit ça va,6.0,Hôtel Auberge du Littoral
156, Personnel très agréable et bienveillant. Chambre très belle repas très bon,8.0,Hôtel Auberge du Littoral
157, Tout,8.0,Hôtel Auberge du Littoral
158," -Le personnel est réactif et à l'écoute. J'ai aimé leur accueil et leur gentillesse. On reconnait bien l'ambiance -à la Marocaine- 
-Plusieurs restaurant à proximiter
-des lieux aux ambiances rustique très charmant",5.8,Hôtel Auberge du Littoral
159," L'accueil, l'emplacement, la propreté...",10.0,Diyar Timnay
160, Le calme et l'accueil,8.0,Diyar Timnay
161," Le personnel très sympathique .
Le bon emplacement de l'hotel.",7.0,Diyar Timnay
162,"N'a pas aimé
 · Bruit des enfants qui jouent au ruelle de l'hôtel.",7.0,Diyar Timnay
163, Personnel accueillant et à l'écoute. Séjour court mais agréable,8.0,Diyar Timnay
164, La tranquillité et la disponibilité de l’hôtelier.,8.0,Diyar Timnay
165, Riad bien situé dans la médina. Le petit déjeuner était excellent et le repas du soir aussi. Chambre très propre et spacieuse. Personnel très accueillant.,8.0,Diyar Timnay
166," Les lits confortables, chambre de grande taille et salle de bain privative tres propre. Emplacement ideal pour visiter le site de Volubilis. Bon rapport qualite prix",8.0,Diyar Timnay
167," Tout est bien : c'est pratique, les gens sont gentils et serviables, il y a tout ce qu'il faut et c'est propre. 
Moulay Idriss vaut le coup de s'y attarder une nuit pour découvrir les montagnes environnantes et une ambiance authentique loin des touristes (sauf à Volubilis!). 
L'hôtel est juste à coté de la station de grand taxi, des commerces et des restaurants, et de la place centrale.",10.0,Diyar Timnay
168, Excellent rapport qualité prix. Propreté irréprochable et personnel aimable et serviable. Pas de bruit dans la rue pendant la nuit.,9.2,Diyar Timnay
169," le personnel acceuil chaleureux et pas besoin de demander le plus
Mohamed et son équipe merci bcp pour tout à refaire inchallah.",10.0,Hotel France Ouzoud
170," l’accueil était chaleureux 
le personnel est trop serviable 
je recommande vivement cet hôtel",9.0,Hotel France Ouzoud
171," Le personnel au petit soin, aimable et serviable.",9.0,Hotel France Ouzoud
172, Cadre agréable staff sympa,8.0,Hotel France Ouzoud
173," Belle déco.
Très bon accueil et bon service ( dehors et devant nos chambres ) pour un bon repas du soir ( commandé en arrivant et pourtant , nous étions 7 ) et un bon petit-déjeuner.
Et un guide très sympa pour nous amener , à pied , voir les cascades ( c'est à faire )",9.0,Hotel France Ouzoud
174," Très bien accueilli avec du thé par un personnel très chaleureux. Possibilité de prendre un guide sur place qui est au top.
Recommande fortement 😊",8.0,Hotel France Ouzoud
175," Hotel tres calme,tranquil, propre ,chambre vaste, bon emplacement merci pour les hôtes qui sont tres gentils, on a passé un bon séjour",9.0,Hotel France Ouzoud
176," Tout le personnel de l’hotel était tres serviable, spécialement Mr Simohamed à la reception.
Tres bon hotel dans un endroit calme est relaxant avec une piscine que ma petite fille de deux ans voulait pas le quitter.",9.0,Hotel France Ouzoud
177," Le reste était très sympathique et tres abordable , chambre correct , petite déjeuner très complet",8.0,Hotel France Ouzoud
178," La gentillesse de tout le personnel, l'emplacement et la cuisine de l'hôtel France ouzoud été magnifique.
Merci hôtel France ouzoud",9.0,Hotel France Ouzoud
179, Pour une 1ere fois a Ouarzazate j ai ete superbement bien acceuilli hotel avec beaucoup de charme le personnel a l ecoute du clients et super adorable merci a Mohammed Nouredine et Kadija pour mon merveilleux sejour ainsi qu a toute l equipe du restaurant Azul abdel simon miloud et Aïsha et tous les autres mille mille mille merci de m avoir acceuilli a bras ouvert je reviens tres vite encore MERCI POUR TOUT,10.0,Hotel Azoul
180, Le cadre le calme l accueil la disponibilité du personnel,8.0,Hotel Azoul
181," Très bon séjour à l'hôtel Azoul : personnel très sympathique, chambre grande et propre ! 
Proche du centre pour se deplacer et possibilité de se garer devant l'hôtel.",8.0,Hotel Azoul
182," tout était parfait, propre, pas cher, grand et facile d’accès",9.0,Hotel Azoul
183," Le personnel est magnifiquement serviable et sympa. Saïd est particulièrement serviable et très décontracté, ce qui permet un superbe contact dès les premiers instants du séjour. Le gérant Mohamed, est très professionnel et courtois.",9.0,Hotel Azoul
184, Chambre spacieuse et propre,8.0,Hotel Azoul
185," Le forfait demi pension est très avantageux.
Nous avons très bien mangé le soir et le petit déjeuner du matin était très correct.
L'emplacement. C'était le plus simple d'accès de tout notre périple de 15 jours au Maroc. 
La dame était souriante et sympathique",7.0,Hotel Azoul
186, Le restaurant attenant,8.0,Hotel Azoul
187," La gentillesse de l'accueil, Chambre spacieuse, bien équipées sanitaires très propres !
je recommande ! meilleur rapport qualité/prix à Ouarzazate.",8.0,Hotel Azoul
188," L'accueil est exceptionnel, l'emplacement parfait. Jeune directeur très à l'écoute et toujours disponible.",9.0,Hotel Azoul
189, Séjour agréable. Personnel tres sympa.,10.0,Hôtel les Omayades
190," L'hospitalité et le petit-déjeuner, personnel impeccable",7.0,Hôtel les Omayades
191, Chambre et personnel,8.0,Hôtel les Omayades
192, propreté des chambres très calme,8.0,Hôtel les Omayades
193," Son emplacement est très bien entre plage et le souk pas loins, avec arrêt de bus pas loins pour aller un peu partout dans la ville pour 3 DH. Bureaux de change juste à côté de l'hôtel (pratique) l'hôtel est aussi équipé d'un DAB. Chambre très propre nettoyer chaque après midi et personnel très sympa! Grand lit confortable et baignoire dans la SALLE de bain, relaxant après une marche sur la plage. Je vous recommande les galettes marocaine au petit déjeuné à tremper dans le miel (une tuerie!)",8.0,Hôtel les Omayades
194, Petit déjeuner correct. Personnel à l'écoute,7.0,Hôtel les Omayades
195,"N'a pas aimé
 · La robinetterie de la baignoire",6.0,Hôtel les Omayades
196," Tranquillité
La propreté",7.0,Hôtel les Omayades
197, Habituer d'aller à cet hôtel,8.0,Hôtel les Omayades
198, Le personnel.,6.0,Hôtel les Omayades
199, L'hôtel très propre les chambres calme le service excellent je suis très satisfaite,10.0,Premiere Classe Casablanca Centre Ville
200, Personnels,8.0,Premiere Classe Casablanca Centre Ville
201, Buffet petit-déjeuner,7.0,Premiere Classe Casablanca Centre Ville
202," l’établissement est très calme et très propre , on s’y sent bien",9.0,Premiere Classe Casablanca Centre Ville
203, Surtout la propreté et le calme !,8.0,Premiere Classe Casablanca Centre Ville
204, L'accueil,8.0,Premiere Classe Casablanca Centre Ville
205, l’emplacement et le rapport qualité prix,7.0,Premiere Classe Casablanca Centre Ville
206," Propretè, parking",7.0,Premiere Classe Casablanca Centre Ville
207, Merci a vous,8.0,Premiere Classe Casablanca Centre Ville
208, la propreté,7.0,Premiere Classe Casablanca Centre Ville
209," La propreté des chambres , de la douche est excellente , le personnel est très convivial",10.0,Hôtel Narjisse
210," Emplacement idéal, personnel sympa et discret. Très bon rapport qualité/prix.",8.0,Hôtel Narjisse
211, La propreté,8.0,Hôtel Narjisse
212, Pas de déjeuner,9.0,Hôtel Narjisse
213," L'accueil très aimable.
La propreté.
Un bon lit et une chambre au calme.
L'emplacement juste parfait.",9.2,Hôtel Narjisse
214, Personnel très accueillant et disponible !,9.2,Hôtel Narjisse
215," - Serviabilité du personnel
- Confort du lit
- Bon sanitaire
- Rapport qualité prix
- Wifi gratuit
- Proche de la place Jamaa el Fna",8.0,Hôtel Narjisse
216, Hotel simple proche de la Medina. Idéal pour passer une nuit à Marrakech à faible cout. Navette pour l'aéroport.,7.1,Hôtel Narjisse
217," L'emplacement est idéal pour parcourir Marrakech. A 5 min de la place à pied.
Le personnel est très gentil et prévenant, merci à vous.",9.6,Hôtel Narjisse
218," je regrette qu'ils ne servent pas de petit déjeuner, mais l'endroit indiqué par l'hotel était très bien",8.0,Hôtel Narjisse
219, Staff was extremely friendly and accommodating. I would definitely stay there again!,8.8,Hotel Baddou
220," Nous y avons passé 2 nuits. A l'extérieur, il y a des salons aménagés dans des tentes berbères qui permettent de se retrouver entre amis.
La nourriture y est excellente, nous avons pu manger des plats marocains différents de ce qui est généralement proposé dans les hôtels et riads.
L'hôtel est facile d'accès et possède un grand parking.
On peut même y faire sa lessive, machine à laver et cordes à linge sont disponibles.",9.2,Hotel Baddou
221, Staf is very friendly. I recommend eating here.,7.5,Hotel Baddou
222," Excellent staff, food and accommodation . Mr Baddou was the perfect host tending our needs. We we’re also treated to a night of Moroccan music after our evening meal which was again excellent. More than enough to eat for every meal . Motorcycle friendly",10.0,Hotel Baddou
223, habitación adecuada. Personal muy amable. Buen desayuno.,8.3,Hotel Baddou
224, Zeer vriendelijke ontvangst.,7.5,Hotel Baddou
225, Sehr nette Gastgeber! Super Essen! Tolle Lage!,10.0,Hotel Baddou
226," Le séjour au Bivouac était une très bonne expérience, je remercie Leila et son équipe pour leur acceuil et leur générosité, et puis la vue du ciel plein d'étoiles en vaut vraiment la chandelle, on reviendra à coup sûr :)",10.0,Desert Bivouac Mhamid
227," Nous avons passé un incroyable séjour dans les deux bivouacs magnifiques d'Ismael. Un accueil chaleureux, une incroyable gentillesse et une cuisine délicieuse et fait maison. Une expérience vraiment authentique avec des sorties, sur mesure qui nous ont permis de découvrir la vie dans le désert, notamment une journée en dromadaire avec un repas cuisiné sur le feu en plein désert, des soirées au coin du feu où l'on découvre les chants mystiques et la musique du désert.
La simplicité, l'authenticité et la tranquillité de la vie nomade à la portée de tous avec tout le confort possible pour profiter au mieux de l'expérience du désert.",10.0,Desert Bivouac Mhamid
228, très bon et copieux personnel très gentil,9.0,Desert Bivouac Mhamid
229, Des cabanes dans le désert très joliment décoré et confortable en accord avec le lieu. Nous avons adoré.,8.0,Desert Bivouac Mhamid
230, Le lieu est très joli. Dépaysement total. Le repas du soir était vraiment délicieux. Les chambres étaient confortables et les sanitaires propres et bien agencés. Les 2 personnes présentes sur le bivouac sont très accueillantes et gentilles.,7.5,Desert Bivouac Mhamid
231," L’accueil, le lieu, la nourriture, les balades 4x4 et à dos de dromadaire au coucher du soleil, la musique et les chants autour du feu, les attentions particulières... tout était parfait en cette fin d’après-midi et veille de pleine lune. Un grand bravo.",9.6,Desert Bivouac Mhamid
232," L’accueil, le personnel et la restauration sont excellents compte tenu de la localisation du lieu. Les repas étaient bons et sains. La disponibilité du personnel : tout est fait pour qu’on passe un bon moment. Les difficultés sont aplanies.",8.8,Desert Bivouac Mhamid
233," L'ambiance du lieu et du campement très authentique. Accueil chaleureux, personnel attentionné et efficace, promenade en dromadaires et en 4X4 super. Soirée autour du feu sous les étoiles = un très beau moment. Merci à tous.",10.0,Desert Bivouac Mhamid
234," The service provide by the stuff, traditional dinner they prepared for us (delicious tagine), the possibility to sleep outside the tents if you like. Very nice place!",8.0,Desert Bivouac Mhamid
235," What a sweet place! I’m so glad I chose it!
The facilities were clean and the staff took great care to keep them that way. 
It is 6km out into the desert, so unless you want to walk through the dunes, you rely on the staff to bring you into town and back. We found the transport very reliable. 
The staff were great; friendly, pleasant, accommodating and professional. Thank you, Ismail, Laila and Abdul!
And the food— oh my! Wonderful traditional Moroccan dishes, each one more delicious than the one before it. There was a good selection of breakfast items each day. 
This is, as the name suggests, a desert bivouac, meaning it’s fairly rustic, including a shared bathroom. (I’m only saying that to try to help manage other travelers’ expectations.)",9.2,Desert Bivouac Mhamid
236," Un très bon hôtel, un bon petit déjeuner, un lieu calme et proche au centre ville, je le conseil",10.0,Manzil Hotel
237, Alimenteur,7.0,Manzil Hotel
238," Nous cherchions un hôtel raisonnable dans le quartier. Très propre, personnel serviable et disponible. La suite un peu froide, souci de chauffage, mais on a offert une 2eme couette très agréable. Le petit déjeuner est très convenable, varié. Juste prévenir qu'en période de Covid, il n'y a pas de buffet, mais un plateau (bien garni) fait à la demande. 
Qu'on vous propose gentiment de vous apporter en chambre. Hôtel pratique, raisonnable et stationnement facile.",8.0,Manzil Hotel
239," Petit déjeuner marocain, j'adore.",8.0,Manzil Hotel
240, L'emplacement est trop à l'intérieur du quartier à mon goût. J'aime le gadre de ma chambre.,8.0,Manzil Hotel
241," Établissement super !😍😍 depuis que je viens en vacances au Maroc , c’est mon hôtel favoris🤲🏾
Super popre , personnel accueillant et respectueux, chambre confortable…franchement rien à dire !",7.0,Manzil Hotel
242, Lit confortable j’ai passé une bonne nuit,7.0,Manzil Hotel
243," Le service 
L'accueil",8.0,Manzil Hotel
244, Le Lieu,7.0,Manzil Hotel
245, Rapport qualité prix correct,7.0,Manzil Hotel
246," Belle vue, responsable de l'hôtel très agréable ainsi que son personnel",10.0,Hotel Miramar
247, J'ai beaucoup apprécié la situation géographique de l'hôtel . Le confort de la literie était également au rendez-vous.,8.0,Hotel Miramar
248, L'emplacement et le personnel,7.0,Hotel Miramar
249," L'emplacement est parfait. En plein cœur de la ville ce qui permet de se déplacer sans problème à pied. Le personnel employé est très cordial, à l'écoute et souriant.",6.0,Hotel Miramar
250," Emplacement agreble face a la mer 
Proximité de la médina, et des grands lieux d'attraction",8.0,Hotel Miramar
251, La première des choses c est le parking parmi les gros problème . Et aussi j ai demandé un lit pour bébé malheureusement pas disponible et le soir beaucoup de bruit un petit peu gêné .,7.0,Hotel Miramar
252,"N'a pas aimé
 · Cap spirtal",7.0,Hotel Miramar
253, L'emplacement est bien,7.0,Hotel Miramar
254, La vue sur la plage et la Marina 8,6.0,Hotel Miramar
255, Vue sur la Marina.,6.0,Hotel Miramar
256," L'implantation de l hôtel, sa récente construction, le personnel aux petits soins, la propreté, les petits déjeuners copieux , le calme et surtout le fait que les enfants se sentent comme chez eux sur place .",10.0,Hôtel El Kasbah Souiria
257, Tout était parfait baignoire fonctionnelle lit confortable petit déjeuner copieux personnel très gentil,10.0,Hôtel El Kasbah Souiria
258," hôtel très bien placé à quelques minutes de la médina et du port de pêche..
hôtel très bien tenu et personnel de qualité.
petit déjeuner copieux.
l’hôtel est bien décoré et pour ceux qui cherchent un endroit sûr en terme de qualité peuvent y aller les yeux fermés.
on gare aussi la voiture au pieds de l’hôtel.",9.0,Hôtel El Kasbah Souiria
259," Très bon accueil et gentillesse .
On retrouve tout ce sur l’on recherche avec le très beau décor typique marocain , de très belles chambres spacieuses mème pour les familiales et le très copieux petit déjeuner marocain. Et tout cela avec la gentillesse de l’équipe très attentive à nos besoins . 
Je reviendrais .",10.0,Hôtel El Kasbah Souiria
260," On a absolument tout aimé, qu'on a du prolonger notre séjour, le personnel est très accueillant, la propreté est au rendez vous, la proximité de la médina et la plage est parfaite, on a même pas eu besoin de voiture, le petit déjeuner est bien copieux avec bcp de choix, on n'hésiterait pas de revenir et à recommander à tous nos amis et proches.",10.0,Hôtel El Kasbah Souiria
261," La propreté, le calme, le très bon service du personnel et surtout le savoir d'écouter.
Petit déjeuner très copieux et riche, jus d'orange naturel j'aimerais bien qu il intègre d'autres repas à la prochaine visite in Chae allah 😉😉",9.0,Hôtel El Kasbah Souiria
262, chambre /déjeuner/accueille,8.0,Hôtel El Kasbah Souiria
263, La réactivité du personnel franchement au top rien à dire merci à vous et personnel de l’hôtel très gentils,10.0,Hôtel El Kasbah Souiria
264, La gentillesse du personnel,7.0,Hôtel El Kasbah Souiria
265, un endroit top propre une équipe au petit soin un patron en or qui a l œil sur tout petit dej magnifique frais et surtout au milieu de tt et à petit prix magnifique,10.0,Hôtel El Kasbah Souiria
266, La proximité du souk ainsi que la deco de l'hotel 100% marocain,9.0,Hotel Cap Sim
267," Le petit déjeuner? Nous l'avons pris qu'une seule fois. Rien d'excitant! Des portions de ""vache qui rit"" Nous avons trouvés mieux à quelques pas dans une bonne pâtisserie.",3.0,Hotel Cap Sim
268," Perfect location in the medina, close to the port, the beach, bus station, and many great restaurants and cafes. Comfortable bed, great shower with lots of hot water and pressure. Great staff. My favourite hotel in Morocco",9.0,Hotel Cap Sim
269," Établissement TRÈS PROPRE rien à redire. 
L’hôtel est entretenu. 
Bien placé à proximité de toute commodité et à quelques minutes de la plage en voiture. 
Parking à côté de l’hôtel. 
Le personnel est à l’écoute et très chaleureux. 
Petit déjeuner très riche on est bien caler à la fin du repas.",10.0,Hotel Borj Mogador
270, L’accueil chaleureux ainsi que le rapport qualité prix.,8.0,Hotel Borj Mogador
271, Excellent propriété au rendez-vous rien a dire lit confortable je me suis réveillée tard a 12midi il mon proposé toujours le petit déjeuner avec sourire excellent,9.0,Hotel Borj Mogador
272, Calme et propre.,7.0,Hotel Borj Mogador
273," Tres propre, gerante tres sympathique et serviable. Hotel bien entretenu.
Tres bien dormi. Literie propre et confortable. Belle deco.",9.0,Hotel Borj Mogador
274," Propreté 
Qualité-prix 
Emplacement pas ds le centre mais à 2 min en voiture 
Bon petit déjeuner 
Et personnel super toujours la pour une aide ou n importe qu elle renseignement",9.0,Hotel Borj Mogador
275," L'emplacement à quelques pas du corniche , quartier calme ,la terasse de la chambre",9.0,Hotel Borj Mogador
276, L'accueil du personnel,7.0,Hotel Borj Mogador
277, L accueil,8.0,Hotel Borj Mogador
278, L'emplacement,7.9,Hotel Borj Mogador
279," Magnifique hôtel avec une vue magnifique sur la montagne 
Petit déjeuner gourmand et varié 
Le personnel extrêmement accueillant 
Je conseille vivement",10.0,HOTEL MAKARIM TETOUAN
280, Le personnel est serviable et courtois. La chambre propre calme et paisible...,9.0,HOTEL MAKARIM TETOUAN
